name,Collaborated,query_county,city,query_purpose,person_with_relationship,org_contact,org_contact_title,phone,email,contact:email,website,latitude,longitude,osm_id,osm_type,ALAND,AREAID,AWATER,COUNTYFP,FIXME,MTFCC,OBJNAME,SHAPE_STAr,SHAPE_STLe,STATEFP,Tiger:MTFCC,Zoning,abandoned,abandoned:amenity,access,affiliation,after_school,air_conditioning,alt_name,alt_name:am,alt_name:en,alt_name:es,alt_name:vi,amenity,amenity:historic,amenity_1,architect,architect:wikidata,area,artist_name,basilica,branch,brand,building,building:architecture,building:colour,building:levels,building:material,building:part,building:type,building:use,capacity,check_date,comment,community,community:en,community:gender,community:vi,community:wikidata,community_centre,community_centre:for,contact:facebook,contact:fax,contact:instagram,contact:twitter,contact:website,contact:youtube,created_by,demolished:amenity,demolished:building,denomination,denomination:wikidata,description,description:emergency,designation,diocese,disued:website,disused,disused:amenity,disused:denomination,disused:office,disused:official_name,disused:phone,disused:religion,disused:school,disused:website,ele,elevation,events_centre:conference,facebook,fax,fee,fixme,fixme:amenity,flag:name,flag:type,flag:wikidata,full_name,full_name:es,gnis:feature_id,grade,grades,healthcare,height,heritage,heritage:name,heritage:operator,heritage:ref,heritage:since,historic,historic:denomination,historic:name,image,indoor,inscription,internet_access,internet_access:ssid,landuse,language:am,language:en,language:es,language:hr,language:ja,language:ko,language:la,language:zh,layer,leisure,level,loc_name,location,long_name,man_made,mascot,massgis:cat,max_age,min_age,monastery:type,museum,name:am,name:en,name:es,name:etymology,name:etymology:wikidata,name:fil,name:fr,name:he,name:it,name:ja,name:ko,name:pt,name:ru,name:th,name:tl,name:uk,name:ur,name:vi,name:vi-Hani,name:zh,name:zh-Hans,name:zh-Hant,not:shop,note,note:address,office,official_name,official_name:en,official_name:es,old_name,old_name:am,old_name:en,old_name:es,old_name:ko,old_name:la,old_name:vi,old_official_name:en,opening_hours,operator,operator:short,operator:type,operator:website,operator:wikidata,owner,owner:website,owner:wikidata,paloalto_ca:id,payment:cash,payment:credit_cards,pet,phone:mnemonic,place_of_worship,preschool,redwood_city_ca:addr_id,redwood_city_ca:bld_gid,redwood_city_ca:bldg_id,ref,ref:blklot,ref:chisl,ref:chl,ref:nrhp,religion,religion:wikidata,residential,reviewed,roof:colour,roof:height,roof:levels,roof:orientation,roof:shape,room,ruins,school,school:gender,service_times,sfgov:OBJNAME,shop,short_name,short_name:en,short_name:vi,short_name:zh,social_facility,social_facility:for,social_facility:for_1,source,source:addr,source:phone,sport,start_date,strapline,subject,subject:wikidata,survey:date,toilets:wheelchair,tourism,training,type,upload_version,verified,was:amenity,was:denomination,website:official,wheelchair,wikidata,wikimedia_commons,wikipedia,addr:1:housenumber,addr:city,addr:country,addr:county,addr:floor,addr:full,addr:housename,addr:housenumber,addr:paloaltoca_id,addr:place,addr:postcode,addr:state,addr:street,addr:unit
Keeum Christian Academy,,santa_clara,,religion,,,,+1-650-646-1341,,,https://keeum.com/,37.3994251,-122.1090883,381344653,way,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,yes,,,,,,,,,2025-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mountain View,,,,,,2478,,,,CA,West El Camino Real,
Foothill Baptist Church,,santa_clara,,religion,,,,,,,https://foothill-baptist.org/,37.3512022,-122.0775551,381510239,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,southern_baptist,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,2107767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foothill Baptist Church of Los Altos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,FBCLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Los Altos,,,,,,1347,,,94024,CA,Richardson Avenue,
Los Altos Lutheran Church,,santa_clara,,religion,,,,,,,,37.3745943,-122.107789,381589894,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,lutheran,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,2107768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Los Altos,,,,,,460,,,94022,CA,South El Monte Avenue,
The Church of Jesus Christ of Latter-day Saints,,santa_clara,,religion,,,,,,,,37.3587114,-122.0784507,382264289,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,latter-day_saints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Los Altos,,,,,,1300,,,94024,CA,Grant Road,
First Church of Christ Scientist,,santa_clara,,religion,,,,,,,,37.3611042,-122.0766871,382277070,way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,christ_scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mountain View,,,,,,221,,,94040,CA,Bryant Avenue,
"First Church of Christ, Scientist, Los Altos",,santa_clara,,religion,,,,+1-650-948-3602,info@christiansciencelosaltos.org,,https://christiansciencelosaltos.org/,37.3757762,-122.1177798,382340425,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,christ_scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Los Altos,,,,,,401,,,94022,CA,University Avenue,
Parish Hall,,santa_clara,,religion,,,,,,,,37.3750267,-122.1171546,382347331,way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immanuel Lutheran Church,,santa_clara,,religion,,,,,,,https://www.ilclosaltos.com/,37.3494194,-122.0774967,384942116,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,evangelical_lutheran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First United Methodist Church,,santa_clara,,religion,,,,,,,https://www.sunnyvaleumc.org/,37.3677114,-122.0247427,385958685,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,united_methodist,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,1830534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First United Methodist Church of Sunnyvale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunnyvale,US,,,535 Old San Francisco Road,,535,,,94086,CA,Old San Francisco Road,
San Jose Korean Central Church,,santa_clara,,religion,,,,,,,,37.2894883,-121.9496395,386388145,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Campbell,,,,,,1870,,,95008,CA,Winchester Boulevard,
Saint Stephen Orthodox Church,,santa_clara,,religion,,,,,,,,37.2852367,-121.9487852,386990944,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,orthodox,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,2107764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Campbell,,,,,,65,,,95008,CA,East Rincon Avenue,
Orchard Community Church,,santa_clara,,religion,,,,,,,,37.2853977,-121.9471594,386991023,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,2107762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Campbell,,,,,,157,,,95008,CA,East Rincon Avenue,
Kannon Do Zen Meditation Center,,santa_clara,,religion,,,,650-903-1935,,,https://www.kannondo.org/,37.4133945,-122.090376,389266246,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,buddhist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en:Kannon Do Zen Meditation Center,,Mountain View,,,,,,1972,,,94043,,Rock Street,
대성 장로 교회;Daesung Presbyterian Church,,santa_clara,,religion,,,,,,,,37.404156,-122.0131188,390108834,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,presbyterian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daesung Presbyterian Church,,,,,,,,,대성 장로 교회,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunnyvale,,,,,,425,,,94089,CA,West Tasman Drive,
,,santa_clara,,religion,,,,,,,,37.4071695,-122.0887864,391393928,way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,church,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,santa_clara,,religion,,,,,,,,37.366669,-121.9939631,391396406,way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silicon Valley Reformed Baptist Church,,santa_clara,,religion,,,,,,,https://svrbc.org,37.3953023,-122.005629,391583796,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,baptist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunnyvale,,,,,,709,,,94089,CA,Lakewood Drive,
"First Church of Christ, Scientist",,santa_clara,,religion,,,,,,,https://www.christiansciencesunnyvale.org/,37.3421491,-122.0319672,391606605,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,christ_scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunnyvale,,,,,,1575,,,94087,CA,Albatross Drive,
Saint Cyprian Elementary School,,santa_clara,,religion,,,,,,,,37.3805697,-122.0503434,391619283,way,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,220651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diocese of San José,,religious,,Q875815,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unity Missionary Baptist Church,,santa_clara,,religion,,,,,,,,37.3701252,-122.058532,391633476,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,baptist,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,1830508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunnyvale,,,,,,1228,,,94087,CA,Brookfield Avenue,
,,santa_clara,,religion,,,,,,,,37.3698287,-122.057329,391648497,way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,santa_clara,,religion,,,,,,,,37.4017796,-122.0909887,392344128,way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain View Spanish Seventh Day Adventist Church,,santa_clara,,religion,,,,,,,,37.4066388,-122.0912702,392348133,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,seventh_day_adventist,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,1828556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valley Faith United Methodist Church,,santa_clara,,religion,,,,,,,,37.395403,-121.9893065,392412218,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,methodist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,santa_clara,,religion,,,,,,,,37.3900872,-122.0804168,395593593,way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Martin Catholic Community,,santa_clara,,religion,,,,,,,https://smsdsj.org/,37.3678773,-122.0256856,395848491,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diocese of San José,,,,Q875815,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunnyvale,,,,,,593,,,94086,CA,Central Avenue,
Cornerstone Community Church,,santa_clara,,religion,,,,650-701-7012,,,https://www.cccpaloalto.org/,37.4245403,-122.1149143,396799286,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1892,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,City of Palo Alto CA 0713,,,,,,,,,,,,,,,,,,,,,,,Palo Alto,,,,,,701,,,94303,,East Meadow Drive,
,,santa_clara,,religion,,,,,,,,37.4263433,-122.1165609,396799287,way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,baptist,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,2107749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peninsula Bible Church,,,,,,,,1689,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,City of Palo Alto CA 0713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peninsula Bible Church,,santa_clara,,religion,,,,,,,,37.4260989,-122.1166153,396799289,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,baptist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1696,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,PBC,,,,,,,City of Palo Alto CA 0713,,,,,,,,,,,,,,,,,,,,,,,Palo Alto,,,,,,3505,,,,CA,Middlefield Road,
University African Methodist Episcopal Zion Church,,santa_clara,,religion,,,,650-272-6742,,,http://www.universityamez.com/,37.4252408,-122.1159401,396800155,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,african_methodist_episcopal_zion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1889,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,City of Palo Alto CA 0713,,,,,,,,,,,,,,,,,,,,,,,Palo Alto,,,,,,3549,,,94306,,Middlefield Road,
Mountain View Japanese Seventh Day Adventist Church,,santa_clara,,religion,,,,,,,https://www.mvjsda.com/,37.4053483,-122.0956232,397898985,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,seventh_day_adventist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1828554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mountain View,,,,,,195,,,94043,CA,North Rengstorff Avenue,
South Bay Chinese Seventh-day Adventist Church,,santa_clara,,religion,,,,650-940-1062,,,http://www.sbcsda.com/,37.4012309,-122.0916646,404849955,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,seventh_day_adventist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,http://www.sbcsda.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,1904,,,,,Silverwood Avenue,
Campbell Baptist Church,,santa_clara,,religion,,,,,,,,37.283299,-121.9474298,413995154,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,baptist,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,2107758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Campbell,,,,,,151,,,95008,CA,Sunnyside Avenue,
Saint Lucy Catholic Church,,santa_clara,,religion,,,,,,,https://www.stlucy-campbell.org/,37.2802163,-121.9492958,414033653,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,2107763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diocese of San José,,religious,,Q875815,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7401739,,,,Campbell,,,,,,2350,,,95008,CA,South Winchester Boulevard,
Saint Lucy Catholic Church and School,,santa_clara,,religion,,,,,,,,37.2814703,-121.9489754,414033665,way,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diocese of San José,,religious,,Q875815,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Stephen Orthodox Church,,santa_clara,,religion,,,,,,,,37.284932,-121.9489798,414346241,way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,religious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Church of Jesus Christ of Latter-day Saints,,santa_clara,,religion,,,,,,,,37.2675474,-122.005516,414856363,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,Saratoga Ward,,church,,,1,,,,,,,,,,,,,,,,,,,,,,,,latter_day_saints,,,,,,,,,,,,,,,,104,,,,,,,,,,,,,2107701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Church of Jesus Christ of Latter-day Saints – Saratoga Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saratoga,,,,,,19100,,,95070-5163,CA,Allendale Avenue,
